"SessionDuration","Sessions","Pageviews","AvgViewPerSess","Sessions_Percent"
"0-10 seconds",3197,3775,1.18079449483891,32.3321197411003
"11-30 seconds",728,1739,2.38873626373626,7.36245954692557
"31-60 seconds",935,2667,2.8524064171123,9.45590614886731
"61-180 seconds",933,4376,4.69024651661308,9.43567961165049
"181-600 seconds",1168,9395,8.04366438356164,11.8122977346278
"601-1800 seconds",1918,22408,11.6830031282586,19.3972491909385
"1801+ seconds",1009,18128,17.9663032705649,10.20428802589
